date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:51:03	22939/22939	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Jun%202022%2014:13:18%20GMT	https://bitcoin.org/tr/	/storage/emulated/0/HTTrack/Websites/btcminercoin/bitcoin.org/tr/index.html	(from )
02:51:03	43/43	---M--	200	added ('OK')	text/plain	etag:%2262b8697e-2b%22	https://bitcoin.org/robots.txt		(from )
02:51:04	14655/14655	---M--	200	added ('OK')	image/png	etag:%2261793594-393f%22	https://bitcoin.org/img/icons/opengraph.png?1656252469	/storage/emulated/0/HTTrack/Websites/btcminercoin/bitcoin.org/img/icons/opengraph81d6.png	(from https://bitcoin.org/tr/)
02:51:04	26711/26711	---M-Z	200	added ('OK')	text/css	etag:%2261793593-176d%22	https://bitcoin.org/css/font-awesome-4.4.0/css/font-awesome.min.css	/storage/emulated/0/HTTrack/Websites/btcminercoin/bitcoin.org/css/font-awesome-4.4.0/css/font-awesome.min.css	(from https://bitcoin.org/tr/)
02:51:06	122693/122693	---M-Z	200	added ('OK')	text/css	etag:%2262b8697e-55b6%22	https://bitcoin.org/css/main.css?1656252469	/storage/emulated/0/HTTrack/Websites/btcminercoin/bitcoin.org/css/main81d6.css	(from https://bitcoin.org/tr/)
02:51:06	459/459	---M-Z	200	added ('OK')	text/css	etag:%2261793593-ed%22	https://bitcoin.org/css/sans.css?1656252469	/storage/emulated/0/HTTrack/Websites/btcminercoin/bitcoin.org/css/sans81d6.css	(from https://bitcoin.org/tr/)
02:51:07	12070/12070	---M-Z	200	added ('OK')	application/javascript	etag:%2261793594-f94%22	https://bitcoin.org/js/base.js?1656252469	/storage/emulated/0/HTTrack/Websites/btcminercoin/bitcoin.org/js/base81d6.js	(from https://bitcoin.org/tr/)
02:51:09	28438/28438	---M-Z	200	added ('OK')	application/javascript	etag:%2261793594-1e46%22	https://bitcoin.org/js/main.js?1656252469	/storage/emulated/0/HTTrack/Websites/btcminercoin/bitcoin.org/js/main81d6.js	(from https://bitcoin.org/tr/)
02:51:10	95931/95931	---M-Z	200	added ('OK')	application/javascript	etag:%2261793594-8174%22	https://bitcoin.org/js/jquery/jquery-1.11.2.min.js	/storage/emulated/0/HTTrack/Websites/btcminercoin/bitcoin.org/js/jquery/jquery-1.11.2.min.js	(from https://bitcoin.org/tr/)
02:51:11	13995/13995	---M-Z	200	added ('OK')	application/javascript	etag:%2261793594-12a2%22	https://bitcoin.org/js/jquery/jquery.qrcode.min.js	/storage/emulated/0/HTTrack/Websites/btcminercoin/bitcoin.org/js/jquery/jquery.qrcode.min.js	(from https://bitcoin.org/tr/)
02:51:12	240022/240022	---M-Z	200	added ('OK')	application/javascript	etag:%2261793594-fa65%22	https://bitcoin.org/js/jquery/jquery-ui.min.js	/storage/emulated/0/HTTrack/Websites/btcminercoin/bitcoin.org/js/jquery/jquery-ui.min.js	(from https://bitcoin.org/tr/)
